brand,date,sales,marketing_spend,profit,roi,online_share,retention,innovation,sustainability
L'Oreal,2024-01-31,120,40,38,0.95,0.62,0.48,8,4
L'Oreal,2024-02-29,130,42,41,0.98,0.63,0.49,8,4
L'Oreal,2024-03-31,138,41,44,1.05,0.65,0.51,9,4
Fenty,2024-01-31,90,32,27,0.84,0.71,0.56,9,5
Fenty,2024-02-29,100,35,30,0.86,0.72,0.57,9,5
Fenty,2024-03-31,110,36,32,0.89,0.74,0.58,10,5
Rare Beauty,2024-01-31,70,20,20,1.00,0.80,0.60,10,5
Rare Beauty,2024-02-29,78,22,22,1.00,0.81,0.61,10,5
Rare Beauty,2024-03-31,82,25,24,0.96,0.82,0.61,10,5
Maybelline,2024-01-31,150,50,45,0.90,0.45,0.40,6,3
Maybelline,2024-02-29,152,49,47,0.96,0.46,0.41,6,3
Maybelline,2024-03-31,160,51,50,0.98,0.46,0.41,7,3
Sephora,2024-01-31,210,70,63,0.90,0.55,0.52,7,4
Sephora,2024-02-29,215,72,65,0.90,0.56,0.52,7,4
Sephora,2024-03-31,220,75,68,0.91,0.57,0.53,7,4






























